ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20110101,-89.8,33.4,22
20110101,-87.8,33.4,11
20110101,-92.9,31.5,13
20110101,-87.6,31.8,7
20110101,-93.2,31.2,1
20110101,-88.2,29.8,1
20110101,-87.1,34.9,3
20110101,-92,32.3,29
20110101,-91.3,34.7,1
20110101,-87.5,38.5,3
20110101,-87.9,32.1,6
20110101,-87.2,34.2,16
20110101,-87,35.2,6
20110101,-87.6,32.8,6
20110101,-86.6,30.9,7
20110101,-87.8,38.9,5
20110101,-85.1,36.7,1
20110101,-84.6,36.6,1
20110101,-86,41.1,2
20110101,-81.4,38.6,2
20110101,-90.9,32.5,7
20110101,-90.9,30.8,4
20110101,-88.4,32.2,5
20110101,-92.9,31.4,4
20110101,-85.3,36.6,1
20110101,-85.2,30.3,1
20110101,-85.4,34.3,1
20110101,-85.8,36,1
20110101,-88.3,37,3
20110101,-88.7,33.8,14
20110101,-87.8,31.1,2
20110101,-88.1,32.9,22
20110101,-85.7,32.7,2
20110101,-84,38.5,1
20110101,-89.5,34.2,5
20110101,-89.8,36.9,5
20110101,-87.2,32.7,1
20110101,-92.7,31.2,3
20110101,-85.4,40.1,2
20110101,-89.8,35.9,2
20110101,-87.1,33,3
20110101,-85.8,34.4,1
20110101,-89.6,31.6,2
20110101,-90.1,33.7,4
20110101,-91.2,32.6,3
20110101,-86.4,31.8,2
20110101,-90.3,33.3,11
20110101,-91.3,34.8,2
20110101,-89.5,29,1
20110101,-87.7,30.5,6
20110101,-88.5,38.3,7
20110101,-88.2,34.4,11
20110101,-85.3,36,1
20110101,-91,35.2,2
20110101,-88.4,31.6,5
20110101,-89.8,38.4,4
20110101,-86.9,30.1,5
20110101,-86.9,36.2,1
20110101,-87.6,37.8,2
20110101,-90.4,32.9,32
20110101,-89.6,30.7,7
20110101,-87.1,32.7,6
20110101,-90.4,32.5,4
20110101,-87.1,39.5,11
20110101,-89.9,32.7,5
20110101,-87,34.7,2
20110101,-90.9,33.2,5
20110101,-86.8,34.9,7
20110101,-87.3,28.2,2
20110101,-92.4,32.5,6
20110101,-89.1,37.9,1
20110101,-88.4,33.7,4
20110101,-90.2,35.5,13
20110101,-85.3,38.7,1
20110101,-86,31.9,8
20110101,-85.6,41,1
20110101,-88.7,31.7,7
20110101,-90.3,30.3,6
20110101,-86.9,41.4,1
20110101,-88.1,38.2,1
20110101,-89.8,35.4,2
20110101,-91.9,33.7,1
20110101,-92.8,32.6,2
20110101,-88.7,28.9,1
20110101,-89,32.9,10
20110101,-88.7,36.2,3
20110101,-90.7,35.4,3
20110101,-86.2,40.8,1
