ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20110101,-86.7,33,1
20110101,-89.6,30.3,1
20110101,-89.2,32.5,1
20110101,-90,33.2,1
20110101,-92.6,31.7,1
20110101,-92.4,31.8,1
20110101,-84.6,38.7,1
20110101,-84.2,38.9,2
20110101,-84.1,38.8,2
20110101,-90.2,33,1
20110101,-88.5,33,1
20110101,-88.3,31.4,1
20110101,-92.5,31.6,1
20110101,-90.3,33.1,1
20110101,-90.3,32.9,1
20110101,-90.2,32.9,2
20110101,-90,33,1
20110101,-89.8,33.1,1
20110101,-88.1,33.2,1
20110101,-86.8,36.1,1
20110101,-86.8,36.2,1
20110101,-82.4,39.9,1
20110101,-84.9,38.2,1
20110101,-89.2,32.6,1
20110101,-90.6,31.7,1
20110101,-89.9,33.1,1
20110101,-89.3,33.5,2
20110101,-92.8,31.9,1
20110101,-92.7,32,1
20110101,-92.1,31.5,1
20110101,-84.8,38.6,2
20110101,-89.3,32.5,1
20110101,-90.1,32.9,1
20110101,-89.6,32.8,1
20110101,-88.4,33.1,1
20110101,-85.3,38.7,1
20110101,-85.4,38.6,1
20110101,-89.1,32.5,1
20110101,-89.1,32.6,1
20110101,-90.2,33.1,2
20110101,-90.5,32.8,1
20110101,-89.9,33,1
20110101,-89.2,33.5,1
20110101,-88.5,33.1,2
20110101,-88,33.3,1
20110101,-93.1,31.7,1
20110101,-92.5,31.8,2
20110101,-84.6,38.6,1
20110101,-88.3,33.7,1
20110101,-84.2,38.7,1
20110101,-90.1,33.1,2
20110101,-89.8,33,1
20110101,-89.8,32.7,3
20110101,-85.5,32,1
20110101,-86.8,33,2
20110102,-75.1,39.9,1
20110104,-96.1,29.7,1
20110105,-95.5,29.5,2
20110105,-95.4,29.5,2
20110105,-85.8,30.3,2
20110105,-86.1,30.3,1
20110105,-84.3,30,1
20110105,-95.2,29.6,1
20110105,-95,29.9,1
20110105,-95.6,29.5,5
20110105,-90.7,30.2,1
20110105,-86.1,30.2,1
20110105,-95,29.8,1
20110105,-94.9,29.9,1
20110105,-95.8,29.5,1
20110106,-80.1,26.7,1
20110106,-79.8,26.7,1
20110106,-80.9,26.3,1
20110106,-80.4,26.4,1
20110106,-80.1,26.4,1
20110106,-87.3,30.7,2
20110107,-79.9,26,1
20110109,-97.6,29,1
20110109,-95.2,29.3,1
20110109,-97.9,28.5,2
20110109,-97.6,28.3,1
20110109,-97.4,28.4,2
20110109,-97.1,27.2,2
20110109,-101,28.9,1
20110109,-95.5,29.3,1
20110109,-95.3,29.3,1
20110109,-98.2,28.2,1
20110109,-98,28.4,2
20110109,-97.6,28.2,2
20110109,-97.7,27.9,1
20110109,-97.1,28,2
20110109,-97.4,27.2,1
20110109,-96.6,27.7,1
20110109,-96.9,27.2,1
20110109,-96.4,29.9,1
20110109,-98.4,28.1,1
20110109,-98.4,28.2,1
20110109,-98.1,28.3,2
20110109,-97.8,28.2,2
20110109,-97.6,27.9,1
20110109,-98.3,28.2,3
20110109,-98.2,28.4,1
20110109,-97.9,28.2,1
20110109,-98,28.5,1
20110109,-97.7,28.5,1
20110109,-97.6,28.4,1
20110109,-97.4,28,1
20110109,-97,28,1
20110109,-96.6,27.9,1
20110109,-99.4,29.4,1
20110109,-99.9,28.8,2
20110109,-99.6,28.7,3
20110109,-99.7,28.7,2
20110109,-99.4,29.2,1
20110109,-99.4,28.9,1
20110109,-96.2,30.1,1
20110109,-95.7,29.7,1
20110109,-94.7,30.2,1
20110109,-95.1,29.9,1
20110109,-96.4,29.8,1
20110109,-97.5,28.3,1
20110109,-97.5,27.1,1
20110109,-96.6,28,2
20110109,-95.4,29.4,1
20110109,-98,28.3,2
20110109,-97.9,28.3,2
20110109,-97.9,28.4,2
20110109,-97.7,28.2,2
20110109,-97.7,28.3,3
