ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20110101,-86.6,34.7,9
20110101,-121.9,38.5,1
20110101,-121.8,38.6,8
20110101,-88.1,33.2,3
20110101,-88.8,32.7,3
20110101,-86.7,37.6,1
20110101,-87.8,35.8,1
20110101,-88.3,34.4,2
20110101,-84.2,38.5,1
20110101,-88.5,32.8,1
20110101,-88.7,32.6,2
20110101,-87.7,35.5,1
20110101,-88.2,36.1,1
20110101,-88.1,35.7,1
20110101,-121,38.7,5
20110101,-88.6,32.5,4
20110101,-87.9,35.6,1
20110101,-86.8,36.2,9
20110101,-86.5,36.4,4
20110101,-89.4,31.7,1
20110101,-86.7,33.3,1
20110101,-90.7,31,1
20110101,-121.7,38.1,1
20110101,-88.1,32.7,3
20110101,-86.8,36.1,7
20110101,-87.4,33.4,1
20110101,-87.9,32.8,3
20110101,-86.7,36.3,1
20110101,-88,32.6,1
20110101,-86.3,32.9,1
20110101,-87.3,33.8,1
20110101,-84.6,39.5,1
20110101,-86.7,33.2,1
20110101,-88.9,31.7,1
20110101,-86.6,33.2,1
20110101,-88.6,31.7,1
20110101,-84.1,38.3,1
20110101,-88.6,31.8,1
20110101,-84.6,39.6,2
20110101,-84.5,39.7,1
20110101,-86.7,31,1
20110101,-89.4,30.7,1
20110101,-121.5,38.6,37
20110101,-121.7,39.6,4
20110101,-121.4,38.3,10
20110101,-88.3,31.5,1
20110101,-85.1,38.4,1
20110101,-86.2,30.9,1
20110101,-88.3,30.9,1
20110101,-82,36.7,1
20110101,-88,31.1,1
20110101,-87.9,31.1,1
20110101,-120.8,38.4,1
20110101,-84.4,39.3,1
20110101,-86.2,31.9,1
20110101,-66,18.2,2
20110101,-89.1,33.6,2
20110101,-92,32.3,2
20110101,-91.4,33.7,1
20110101,-87,34.4,2
20110101,-90.6,32.2,2
20110101,-90.2,31.6,1
20110101,-89.2,34.5,2
20110101,-89.9,31.9,2
20110101,-90,33,6
20110101,-91,34.4,1
20110101,-90.2,32.1,1
20110101,-90.1,35.2,1
20110101,-85,38.5,1
20110101,-90.8,31.9,1
20110101,-90.3,32.2,1
20110101,-89.9,32.4,2
20110101,-89.8,33.1,6
20110101,-90,31.9,3
20110101,-87.8,34.9,1
20110101,-88.1,34.3,3
20110101,-88.3,34.1,1
20110101,-89.6,33.1,4
20110101,-86.8,34,2
20110101,-86.9,34.3,1
20110101,-86.8,34.3,2
20110101,-89.1,34,4
20110101,-89.7,34.2,3
20110101,-90,32.8,1
20110101,-86.7,34.6,11
20110101,-87.2,35.2,1
20110101,-85.4,38.5,1
20110101,-91.7,33.3,1
20110101,-89.5,33.7,1
20110101,-89,36.9,1
20110101,-91.5,33.2,1
20110101,-86.3,34.8,4
